date,exchange_rate_to_euro,country,currency
2021-01-01,1,EU,EUR
2022-01-01,0.66,Australia,AUD
2022-01-01,0.17,Brazil,BRL
2022-01-01,0.18,Canada,CAD
2022-01-01,0.14,Denmark,DKK
2022-01-01,0.9,Japan,JPY
2022-01-01,0.12,Norway,NOK
2022-01-01,0.66,Singapore,SGD
2022-01-01,0.13,Sweden,SEK
2022-01-01,0.1,UK,GBP
2022-01-01,0.88,USA,USD
2022-01-02,0.65,Australia,AUD
2022-01-02,0.16,Brazil,BRL
2022-01-02,0.16,Canada,CAD
2022-01-02,0.15,Denmark,DKK
2022-01-02,1,Japan,JPY
2022-01-02,0.1,Norway,NOK
2022-01-02,0.68,Singapore,SGD
2022-01-02,0.1,Sweden,SEK
2022-01-02,0.1,UK,GBP
2022-01-02,0.9,USA,USD
2022-01-03,0.64,Australia,AUD
2022-01-03,0.16,Brazil,BRL
2022-01-03,0.16,Canada,CAD
2022-01-03,0.13,Denmark,DKK
2022-01-03,1,Japan,JPY
2022-01-03,0.1,Norway,NOK
2022-01-03,0.65,Singapore,SGD
2022-01-03,0.1,Sweden,SEK
2022-01-03,0.1,UK,GBP
2022-01-03,0.88,USA,USD
2022-01-04,0.64,Australia,AUD
2022-01-04,0.16,Brazil,BRL
2022-01-04,0.7,Canada,CAD
2022-01-04,0.13,Denmark,DKK
2022-01-04,0.01,Japan,JPY
2022-01-04,0.1,Norway,NOK
2022-01-04,0.65,Singapore,SGD
2022-01-04,0.1,Sweden,SEK
2022-01-04,1.2,UK,GBP
2022-01-04,0.89,USA,USD
2022-01-05,0.64,Australia,AUD
2022-01-05,0.16,Brazil,BRL
2022-01-05,0.69,Canada,CAD
2022-01-05,0.13,Denmark,DKK
2022-01-05,0.01,Japan,JPY
2022-01-05,0.1,Norway,NOK
2022-01-05,0.65,Singapore,SGD
2022-01-05,0.1,Sweden,SEK
2022-01-05,1.2,UK,GBP
2022-01-05,0.88,USA,USD
2022-01-06,0.63,Australia,AUD
2022-01-06,0.15,Brazil,BRL
2022-01-06,0.69,Canada,CAD
2022-01-06,0.13,Denmark,DKK
2022-01-06,0.01,Japan,JPY
2022-01-06,0.1,Norway,NOK
2022-01-06,0.65,Singapore,SGD
2022-01-06,1,Sweden,SEK
2022-01-06,1.2,UK,GBP
2022-01-06,0.88,USA,USD
2022-01-07,0.63,Australia,AUD
2022-01-07,0.16,Brazil,BRL
2022-01-07,0.7,Canada,CAD
2022-01-07,0.13,Denmark,DKK
2022-01-07,0.01,Japan,JPY
2022-01-07,0.1,Norway,NOK
2022-01-07,0.65,Singapore,SGD
2022-01-07,0.1,Sweden,SEK
2022-01-07,1.2,UK,GBP
2022-01-07,0.89,USA,USD
2022-01-10,0.64,Australia,AUD
2022-01-10,0.16,Brazil,BRL
2022-01-10,0.7,Canada,CAD
2022-01-10,0.13,Denmark,DKK
2022-01-10,1,Japan,JPY
2022-01-10,0.1,Norway,NOK
2022-01-10,0.65,Singapore,SGD
2022-01-10,0.1,Sweden,SEK
2022-01-10,1.2,UK,GBP
2022-01-10,0.88,USA,USD
2022-01-11,0.63,Australia,AUD
2022-01-11,0.16,Brazil,BRL
2022-01-11,0.7,Canada,CAD
2022-01-11,0.13,Denmark,DKK
2022-01-11,0.01,Japan,JPY
2022-01-11,0.1,Norway,NOK
2022-01-11,0.65,Singapore,SGD
2022-01-11,0.1,Sweden,SEK
2022-01-11,1.2,UK,GBP
2022-01-11,0.88,USA,USD
2022-01-12,0.63,Australia,AUD
2022-01-12,0.16,Brazil,BRL
2022-01-12,0.7,Canada,CAD
2022-01-12,0.13,Denmark,DKK
2022-01-12,0.01,Japan,JPY
2022-01-12,0.1,Norway,NOK
2022-01-12,0.65,Singapore,SGD
2022-01-12,0.1,Sweden,SEK
2022-01-12,1.2,UK,GBP
2022-01-12,0.88,USA,USD
2022-01-13,0.64,Australia,AUD
2022-01-13,0.16,Brazil,BRL
2022-01-13,0.7,Canada,CAD
2022-01-13,0.13,Denmark,DKK
2022-01-13,0.01,Japan,JPY
2022-01-13,0.1,Norway,NOK
2022-01-13,0.65,Singapore,SGD
2022-01-13,0.1,Sweden,SEK
2022-01-13,1.2,UK,GBP
2022-01-13,0.87,USA,USD
2022-01-14,0.64,Australia,AUD
2022-01-14,0.16,Brazil,BRL
2022-01-14,0.7,Canada,CAD
2022-01-14,0.13,Denmark,DKK
2022-01-14,0.01,Japan,JPY
2022-01-14,0.1,Norway,NOK
2022-01-14,0.65,Singapore,SGD
2022-01-14,0.1,Sweden,SEK
2022-01-14,1.2,UK,GBP
2022-01-14,0.87,USA,USD
2022-01-18,0.63,Australia,AUD
2022-01-18,0.16,Brazil,BRL
2022-01-18,0.7,Canada,CAD
2022-01-18,0.13,Denmark,DKK
2022-01-18,0.01,Japan,JPY
2022-01-18,0.1,Norway,NOK
2022-01-18,0.65,Singapore,SGD
2022-01-18,0.1,Sweden,SEK
2022-01-18,1.2,UK,GBP
2022-01-18,0.88,USA,USD
2022-01-19,0.63,Australia,AUD
2022-01-19,0.16,Brazil,BRL
2022-01-19,0.71,Canada,CAD
2022-01-19,0.13,Denmark,DKK
2022-01-19,0.01,Japan,JPY
2022-01-19,0.1,Norway,NOK
2022-01-19,0.65,Singapore,SGD
2022-01-19,0.1,Sweden,SEK
2022-01-19,1.2,UK,GBP
2022-01-19,0.88,USA,USD
2022-01-20,0.64,Australia,AUD
2022-01-20,0.16,Brazil,BRL
2022-01-20,0.71,Canada,CAD
2022-01-20,0.13,Denmark,DKK
2022-01-20,0.01,Japan,JPY
2022-01-20,0.1,Norway,NOK
2022-01-20,0.65,Singapore,SGD
2022-01-20,0.1,Sweden,SEK
2022-01-20,1.2,UK,GBP
2022-01-20,0.88,USA,USD
2022-01-21,0.63,Australia,AUD
2022-01-21,0.16,Brazil,BRL
2022-01-21,0.7,Canada,CAD
2022-01-21,0.13,Denmark,DKK
2022-01-21,0.01,Japan,JPY
2022-01-21,0.1,Norway,NOK
2022-01-21,0.65,Singapore,SGD
2022-01-21,0.1,Sweden,SEK
2022-01-21,1.19,UK,GBP
2022-01-21,0.88,USA,USD
2022-01-24,0.64,Australia,AUD
2022-01-24,0.16,Brazil,BRL
2022-01-24,0.7,Canada,CAD
2022-01-24,0.13,Denmark,DKK
2022-01-24,0.01,Japan,JPY
2022-01-24,0.1,Norway,NOK
2022-01-24,0.66,Singapore,SGD
2022-01-24,0.1,Sweden,SEK
2022-01-24,1.19,UK,GBP
2022-01-24,0.88,USA,USD
2022-01-25,0.63,Australia,AUD
2022-01-25,0.16,Brazil,BRL
2022-01-25,0.7,Canada,CAD
2022-01-25,0.13,Denmark,DKK
2022-01-25,0.01,Japan,JPY
2022-01-25,0.1,Norway,NOK
2022-01-25,0.66,Singapore,SGD
2022-01-25,0.1,Sweden,SEK
2022-01-25,1.19,UK,GBP
2022-01-25,0.89,USA,USD
2022-01-26,0.64,Australia,AUD
2022-01-26,0.64,Brazil,BRL
2022-01-26,0.7,Canada,CAD
2022-01-26,0.13,Denmark,DKK
2022-01-26,0.01,Japan,JPY
2022-01-26,0.1,Norway,NOK
2022-01-26,0.66,Singapore,SGD
2022-01-26,0.1,Sweden,SEK
2022-01-26,1.2,UK,GBP
2022-01-26,0.89,USA,USD
2022-01-27,0.63,Australia,AUD
2022-01-27,0.17,Brazil,BRL
2022-01-27,0.7,Canada,CAD
2022-01-27,0.13,Denmark,DKK
2022-01-27,0.01,Japan,JPY
2022-01-27,0.1,Norway,NOK
2022-01-27,0.66,Singapore,SGD
2022-01-27,0.1,Sweden,SEK
2022-01-27,1.2,UK,GBP
2022-01-27,0.9,USA,USD
2022-01-28,0.63,Australia,AUD
2022-01-28,0.17,Brazil,BRL
2022-01-28,0.7,Canada,CAD
2022-01-28,0.13,Denmark,DKK
2022-01-28,0.01,Japan,JPY
2022-01-28,0.1,Norway,NOK
2022-01-28,0.66,Singapore,SGD
2022-01-28,0.1,Sweden,SEK
2022-01-28,1.2,UK,GBP
2022-01-28,0.9,USA,USD
2022-01-31,0.63,Australia,AUD
2022-01-31,0.17,Brazil,BRL
2022-01-31,0.7,Canada,CAD
2022-01-31,0.13,Denmark,DKK
2022-01-31,0.01,Japan,JPY
2022-01-31,0.1,Norway,NOK
2022-01-31,0.66,Singapore,SGD
2022-01-31,0.1,Sweden,SEK
2022-01-31,1.2,UK,GBP
2022-01-31,0.9,USA,USD
2022-02-01,0.63,Australia,AUD
2022-02-01,0.17,Brazil,BRL
2022-02-01,0.7,Canada,CAD
2022-02-01,0.13,Denmark,DKK
2022-02-01,0.01,Japan,JPY
2022-02-01,0.1,Norway,NOK
2022-02-01,0.1,Singapore,SGD
2022-02-01,0.1,Sweden,SEK
2022-02-01,1.2,UK,GBP
2022-02-01,0.89,USA,USD
2022-02-02,0.63,Australia,AUD
2022-02-02,0.17,Brazil,BRL
2022-02-02,0.7,Canada,CAD
2022-02-02,0.13,Denmark,DKK
2022-02-02,0.01,Japan,JPY
2022-02-02,0.1,Norway,NOK
2022-02-02,0.1,Singapore,SGD
2022-02-02,0.1,Sweden,SEK
2022-02-02,1.2,UK,GBP
2022-02-02,0.88,USA,USD
2022-02-03,0.63,Australia,AUD
2022-02-03,0.17,Brazil,BRL
2022-02-03,0.17,Canada,CAD
2022-02-03,0.17,Denmark,DKK
2022-02-03,0.01,Japan,JPY
2022-02-03,0.1,Norway,NOK
2022-02-03,0.66,Singapore,SGD
2022-02-03,0.1,Sweden,SEK
2022-02-03,1.21,UK,GBP
2022-02-03,0.89,USA,USD
2022-02-04,0.62,Australia,AUD
2022-02-04,0.16,Brazil,BRL
2022-02-04,0.68,Canada,CAD
2022-02-04,0.13,Denmark,DKK
2022-02-04,0.01,Japan,JPY
2022-02-04,0.01,Norway,NOK
2022-02-04,0.65,Singapore,SGD
2022-02-04,0.1,Sweden,SEK
2022-02-04,1.18,UK,GBP
2022-02-04,0.87,USA,USD
